Track_name,Track_artist,Track_album_name,Track_album_release_date,Genre,Playlist_name,Playlist_subgenre,Duration_min,Speechiness,Danceability,Energy,Mode,Instrumentalness,Valence,Key,Tempo,Loudness,Acousticness,Liveness,Track_popularity,Popularity_type
Running Wild,Jin,Happy,11/15/2024,pop,Today's Top Hits,mainstream,2.53,0.032,0.487,0.711,1,0,0.317,8,146.9,-4.2,0,0.152,85,high
Insecurities,Lil Baby,Insecurities,11/15/2024,hip-hop,RapCaviar,modern,2.12,0.04,0.65,0.642,1,0,0.186,2,111.9,-5.3,0.005,0.086,70,high
Kese (Dance),Wizkid,Kese (Dance),11/15/2024,afrobeats,Afro Hits,nigerian,2.9,0.049,0.774,0.874,0,0.34,0.927,5,118.1,-5.6,0.142,0.413,75,high
Heavy Is the Crown,Linkin Park,From Zero,11/15/2024,pop,Global Top 50,global,2.78,0.045,0.571,0.928,0,0,0.488,4,127.9,-3.7,0.009,0.297,78,high
Two Faced,Linkin Park,From Zero,11/15/2024,rock,Rock This,modern,3.06,0.08,0.51,0.945,1,0,0.323,1,91.9,-5.4,0.001,0.041,79,high
Hold On Me,"Kygo, Sandro Cavazza",Hold On Me,11/15/2024,electronic,Techno Bunker,techno,2.86,0.044,0.567,0.606,0,0,0.314,10,123,-6.5,0.08,0.069,68,high
Qu� Pasar�a�,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,11/15/2024,pop,Today's Top Hits,mainstream,3.05,0.204,0.833,0.563,0,0.00001,0.343,4,105,-5.6,0.528,0.139,82,high
2 hands,Tate McRae,2 hands,11/14/2024,pop,Today's Top Hits,mainstream,3.03,0.049,0.608,0.806,1,0,0.587,1,104,-3.4,0.121,0.191,79,high
Kamikaze (feat. Victor Mendivil),"Natanael Cano, Uriel Gaxiola, Ganggy, Victor Mendivil",Kamikaze (feat. Victor Mendivil),11/14/2024,latin,Viva Latino,modern,4.14,0.21,0.863,0.662,0,0.00001,0.307,4,96,-5.9,0.084,0.334,72,high
DEPORTIVO,"Blessd, Anuel AA",DEPORTIVO,11/14/2024,latin,Viva Latino,modern,3.65,0.057,0.816,0.762,1,0.0004,0.782,0,90,-2.9,0.534,0.085,72,high
57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",57,11/8/2024,pop,Today's Top Hits,mainstream,4.97,0.098,0.848,0.712,0,0,0.692,1,92,-3.6,0.221,0.106,84,high
Supernova Love,"IVE, David Guetta",Supernova Love,11/8/2024,electronic,Techno Bunker,techno,3.33,0.05,0.655,0.886,0,0,0.778,10,120,-5.2,0.066,0.277,74,high
Tantalizing,"Tiësto, Soaky Siren",Tantalizing,11/8/2024,electronic,Techno Bunker,techno,2.44,0.041,0.671,0.888,0,0.0106,0.412,10,123,-4.3,0.002,0.095,69,high
